index	1	0.004498688082
United_States_09d4	2	0.00036034334
Geographic_coordinate_system	3	0.000291255463
Biography	4	0.000246859902
2007	5	0.00021132687
France	6	0.000152490575
2008	7	0.000134124526
Biological_classification	8	0.000133924724
United_Kingdom_5ad7	9	0.000132858687
Music_genre	10	0.000130620301
Record_label	11	0.000129239463
England	12	0.000116770228
2006	13	0.000115482483
Canada	14	0.000100323212
2005	15	9.2750789e-05
Internet_Movie_Database_7ea7	16	9.1924308e-05
Binomial_nomenclature	17	8.7250235e-05
India	18	8.0936329e-05
Australia	19	8.0413921e-05
Personal_name	20	8.0323427e-05
Germany	21	7.7530865e-05
Departments_of_France_f3ab	22	7.5899747e-05
Studio_album	23	7.3629334e-05
Village	24	7.0296402e-05
2004	25	6.9121299e-05
Football_%28soccer%29	26	6.7491468e-05
Japan	27	6.7415616e-05
Record_producer	28	6.4950026e-05
English_language	29	5.8742136e-05
Politician	30	5.6847001e-05
Conservation_status	31	5.6816445e-05
2003	32	5.6469883e-05
Animal	33	4.9984145e-05
Population_density	34	4.9946733e-05
2001	35	4.9712479e-05
London	36	4.9449791e-05
Europe	37	4.9027951e-05
Italy	38	4.8586435e-05
World_War_II_d045	39	4.8037264e-05
Website	40	4.7844515e-05
Album	41	4.7637777e-05
Romania	42	4.7032176e-05
2002	43	4.6826099e-05
Metre	44	4.680569e-05
Wiktionary	45	4.6024175e-05
Time_zone	46	4.3240567e-05
1999	47	4.3214602e-05
2000	48	4.30757e-05
Public_domain	49	4.2094479e-05
Plant	50	4.0888418e-05
Square_mile	51	3.944298e-05
Elevation	52	3.9164919e-05
Actor	53	3.9050693e-05
Spain	54	3.8875566e-05
Area	55	3.8095104e-05
Square_kilometer	56	3.8016728e-05
1998	57	3.6580534e-05
Digital_object_identifier	58	3.6447019e-05
Poland	59	3.6297575e-05
Population	60	3.6186048e-05
Flowering_plant	61	3.607942e-05
New_York_City_1428	62	3.6004104e-05
New_York_3da4	63	3.5960557e-05
California	64	3.567377e-05
Sweden	65	3.5583025e-05
Scotland	66	3.5514483e-05
Television	67	3.5416856e-05
Film	68	3.4976508e-05
China	69	3.4797809e-05
Norway	70	3.4616926e-05
Animalia	71	3.4416254e-05
Russia	72	3.3471307e-05
1997	73	3.3176178e-05
Brazil	74	3.315109e-05
1996	75	3.2135971e-05
List_of_countries	76	3.1880881e-05
Chordata	77	3.1754149e-05
New_Zealand_2311	78	3.1390822e-05
All_Music_Guide_0e49	79	3.0859461e-05
Writer	80	3.0790272e-05
Foot_%28unit_of_length%29	81	3.0734391e-05
Census	82	2.9948332e-05
Building	83	2.9913767e-05
Netherlands	84	2.984341e-05
1995	85	2.9613337e-05
School	86	2.9611054e-05
Tributary	87	2.9609127e-05
Magnoliopsida	88	2.9140406e-05
Ireland	89	2.900363e-05
Endemism	90	2.7490197e-05
1994	91	2.6873175e-05
Rock_music	92	2.6809054e-05
Poet	93	2.6511649e-05
Single_%28music%29	94	2.6246362e-05
1982	95	2.5982004e-05
USA_f75d	96	2.5833792e-05
1992	97	2.5756328e-05
1991	98	2.5576575e-05
1990	99	2.5348462e-05
Paris	100	2.530014e-05
